CustomerID,Region,Segment,SignupDate
AA-10315,Central,Consumer,2014-03-31
AA-10375,West,Consumer,2014-04-21
AA-10480,South,Consumer,2014-05-04
AA-10645,East,Consumer,2014-06-22
AB-10015,West,Consumer,2014-02-18
AB-10060,East,Home Office,2015-09-18
AB-10105,West,Consumer,2014-12-20
AB-10150,East,Consumer,2014-03-05
AB-10165,West,Consumer,2014-11-16
AB-10255,East,Home Office,2014-07-22
AB-10600,West,Corporate,2014-11-18
AC-10420,West,Corporate,2014-07-12
AC-10450,Central,Consumer,2014-10-31
AC-10615,East,Corporate,2015-09-15
AC-10660,Central,Consumer,2014-10-15
AD-10180,Central,Home Office,2014-11-19
AF-10870,Central,Consumer,2015-12-06
AF-10885,South,Consumer,2014-05-10
AG-10270,West,Consumer,2014-05-13
AG-10300,West,Corporate,2014-04-26
AG-10330,West,Consumer,2016-08-03
AG-10390,East,Consumer,2014-04-19
AG-10495,East,Corporate,2015-01-04
AG-10525,South,Corporate,2014-08-09
AG-10675,Central,Consumer,2015-05-07
AG-10765,East,Home Office,2014-09-17
AG-10900,West,Consumer,2014-07-23
AH-10030,East,Corporate,2014-04-22
AH-10075,East,Corporate,2014-11-16
AH-10120,West,Home Office,2014-07-18
AH-10195,South,Corporate,2015-03-05
AH-10210,West,Consumer,2014-11-29
AH-10465,East,Consumer,2015-01-03
AH-10585,Central,Consumer,2014-10-26
AH-10690,East,Corporate,2014-04-02
AI-10855,East,Consumer,2014-04-28
AJ-10780,South,Corporate,2014-01-10
AJ-10795,South,Corporate,2014-05-14
AJ-10945,South,Consumer,2014-03-03
AJ-10960,East,Consumer,2014-09-14
AM-10360,Central,Corporate,2014-10-06
AM-10705,South,Consumer,2014-10-31
AO-10810,West,Corporate,2016-08-16
AP-10720,East,Home Office,2014-03-03
AP-10915,South,Consumer,2014-08-23
AR-10345,East,Corporate,2014-12-30
AR-10405,East,Corporate,2014-10-03
AR-10510,East,Consumer,2014-05-02
AR-10540,East,Consumer,2014-11-25
AR-10570,South,Consumer,2016-07-14
AR-10825,West,Corporate,2014-06-30
AS-10045,South,Corporate,2014-07-27
AS-10090,South,Consumer,2014-09-22
AS-10135,East,Home Office,2016-11-13
AS-10225,East,Corporate,2014-10-18
