OrderID,CustomerID,OrderDate,Category,Product,Quantity,UnitPrice,Discount,Revenue
O10000,C1147,2025-08-04,Electronics,Smart Watch,13,2553.54,0,33196.02
O10001,C1172,2025-09-06,Furniture,Office Chair,3,12044.37,0,36133.11
O10002,C1164,2025-11-09,Stationery,Planner,3,1043.95,0.05,2975.26
O10003,C1015,2025-11-19,Stationery,Notebook Set,4,514.12,0.1,1850.83
O10004,C1110,2025-08-18,Electronics,Bluetooth Speaker,1,3111.86,0,3111.86
O10005,C1390,2025-12-13,Electronics,Wireless Earbuds,1,4478.09,0,4478.09
O10006,C1253,2025-05-16,Stationery,Desk Organiser,4,756.91,0,3027.64
O10007,C1358,2024-12-28,Apparel,Jacket,3,1515.57,0.05,4319.37
O10008,C1403,2024-11-11,Furniture,Bookshelf,8,6545.69,0.15,44510.69
O10009,C1044,2025-06-29,Electronics,Bluetooth Speaker,2,3387.1,0.1,6096.78
O10010,C1256,2024-12-11,Apparel,Jacket,1,6185.95,0.15,5258.06
O10011,C1385,2025-11-16,Electronics,Bluetooth Speaker,4,6278.17,0.05,23857.05
O10012,C1338,2025-06-23,Furniture,Study Table,6,14457.88,0,86747.28
O10013,C1171,2025-04-18,Home & Kitchen,Mixer Grinder,6,5356.3,0.1,28924.02
O10014,C1079,2024-09-22,Home & Kitchen,Vacuum Cleaner,4,9314.16,0,37256.64
O10015,C1096,2024-11-25,Electronics,Smart Watch,4,9210.37,0,36841.48
O10016,C1075,2025-03-16,Furniture,Bed Frame,3,10387.14,0,31161.42
O10017,C1143,2025-05-11,Apparel,Sunglasses,8,1090.02,0.05,8284.15
O10018,C1355,2025-01-30,Stationery,Desk Organiser,1,636.44,0.15,540.97
O10019,C1207,2024-10-18,Home & Kitchen,Water Purifier,11,10473.71,0.05,109450.27
O10020,C1117,2025-09-05,Stationery,Pen Pack,7,863.58,0.05,5742.81
O10021,C1160,2025-08-07,Electronics,Power Bank,8,3666.45,0.15,24931.86
O10022,C1080,2025-07-27,Apparel,Sunglasses,3,3449.09,0.1,9312.54
O10023,C1345,2025-11-17,Home & Kitchen,Vacuum Cleaner,2,11382.52,0,22765.04
O10024,C1019,2025-01-13,Stationery,Pen Pack,1,318.88,0,318.88
O10025,C1294,2025-07-24,Stationery,Pen Pack,6,903.16,0,5418.96
O10026,C1267,2025-08-13,Apparel,Sunglasses,4,2076.5,0.1,7475.4
O10027,C1390,2025-07-05,Stationery,Desk Organiser,2,819.45,0.05,1556.95
O10028,C1031,2025-05-27,Electronics,Power Bank,3,8848.85,0,26546.55
O10029,C1297,2024-11-09,Electronics,Smart Watch,2,4136.91,0.1,7446.44
O10030,C1112,2025-07-20,Apparel,Jacket,3,1821.39,0.15,4644.54
O10031,C1098,2025-06-08,Stationery,Pen Pack,4,1005.37,0.15,3418.26
O10032,C1419,2025-05-28,Apparel,Backpack,12,5155.37,0.05,58771.22
